precio,banda_precio,tipo_inmueble,demarcacion,colonia,cerca_alameda_oriente,m2,recamaras,banos,estacionamientos,tiene_estacionamiento,canal_contacto,publicado_por,url,fuentes
3000.0,≤$8k,oficina,Gustavo A. Madero,San Juan de Aragón,sí,6.0,,,,n-d,vía portal (lamudi) | https://www.lamudi.com.mx/detalle/41032-73-83501dc08fb3-1e67-19e410e-8577-7c4d,,https://www.lamudi.com.mx/detalle/41032-73-83501dc08fb3-1e67-19e410e-8577-7c4d,lamudi
3500.0,≤$8k,oficina,Nezahualcóyotl,Agua Azul,sí,,,4.0,,n-d,vía portal (lamudi) | https://www.lamudi.com.mx/detalle/41032-73-ff100bc78f3b-9cda-199829d-bf36-70aa,,https://www.lamudi.com.mx/detalle/41032-73-ff100bc78f3b-9cda-199829d-bf36-70aa,lamudi
4000.0,≤$8k,local,Nezahualcóyotl,Benito Juárez,sí,,,1.0,,n-d,vía portal (lamudi) | https://www.lamudi.com.mx/detalle/41032-73-30ac212a7b37-58-19e9906-abc9-7077,,https://www.lamudi.com.mx/detalle/41032-73-30ac212a7b37-58-19e9906-abc9-7077,lamudi
4000.0,≤$8k,departamento,Iztacalco,Pantitlán,sí,44.0,2,1.0,,n-d,vía portal (mercadolibre) | https://departamento.mercadolibre.com.mx/MLM-5666935876-se-renta-departamento-recien-remodelado-bien-iluminado-y-cerca-de-av-pantitlan-_JM,,https://departamento.mercadolibre.com.mx/MLM-5666935876-se-renta-departamento-recien-remodelado-bien-iluminado-y-cerca-de-av-pantitlan-_JM,mercadolibre
5000.0,≤$8k,departamento,Nezahualcóyotl,Benito Juárez,sí,40.0,1,1.0,,n-d,vía portal (nuroa) | https://www.nuroa.com.mx/adform/5200000783255198297?click_type=1&pos=2&listingId=5200000783255198297&siteStrategyKey=https%3A%2F%2Fwww.nuroa.com.mx&url=https%253A%252F%252Fwww.icasas.mx%252FaggregatorDetail%253FadId%253D019f3033-9176-7471-8158-78e136be07c5%2526aggregator%253Dmitula%2526utm_content%253D019f3033-9176-7471-8158-78e136be07c5_payment&searchType=2&page=1&seo_link_id=1406136829&section=26&t_sec=26&sectionType=2&pageViewId=195b3e0c-5c7f-418a-9613-697a25411a80&t_pvid=195b3e0c-5c7f-418a-9613-697a25411a80&userAgent=Mozilla%2F5.0+%28Macintosh%3B+Intel+Mac+OS+X+10_15_7%29+AppleWebKit%2F605.1.15+%28KHTML%2C+like+Gecko%29+Version%2F17.4+Safari%2F605.1.15&browser=1&isHuman=true&userIp=189.226.169.69&what=departamento+nezahualcoyotl&search_terms=departamento+nezahualcoyotl&origin=2&t_or=2&splitTestId=0,,https://www.nuroa.com.mx/adform/5200000783255198297?click_type=1&pos=2&listingId=5200000783255198297&siteStrategyKey=https%3A%2F%2Fwww.nuroa.com.mx&url=https%253A%252F%252Fwww.icasas.mx%252FaggregatorDetail%253FadId%253D019f3033-9176-7471-8158-78e136be07c5%2526aggregator%253Dmitula%2526utm_content%253D019f3033-9176-7471-8158-78e136be07c5_payment&searchType=2&page=1&seo_link_id=1406136829&section=26&t_sec=26&sectionType=2&pageViewId=195b3e0c-5c7f-418a-9613-697a25411a80&t_pvid=195b3e0c-5c7f-418a-9613-697a25411a80&userAgent=Mozilla%2F5.0+%28Macintosh%3B+Intel+Mac+OS+X+10_15_7%29+AppleWebKit%2F605.1.15+%28KHTML%2C+like+Gecko%29+Version%2F17.4+Safari%2F605.1.15&browser=1&isHuman=true&userIp=189.226.169.69&what=departamento+nezahualcoyotl&search_terms=departamento+nezahualcoyotl&origin=2&t_or=2&splitTestId=0,lamudi+mercadolibre+nuroa
5000.0,≤$8k,departamento,Venustiano Carranza,Aviación Civil,sí,30.0,1,1.0,,n-d,vía portal (mercadolibre) | https://departamento.mercadolibre.com.mx/MLM-3128825485-renta-departamentos-ampliacion-aviacion-civil-t-df0204-0112-_JM,,https://departamento.mercadolibre.com.mx/MLM-3128825485-renta-departamentos-ampliacion-aviacion-civil-t-df0204-0112-_JM,mercadolibre
5800.0,≤$8k,departamento,Nezahualcóyotl,Agua Azul,sí,40.0,1,1.0,,n-d,vía portal (nuroa) | https://www.nuroa.com.mx/adform/7130000782823332570?click_type=0&pos=1&listingId=7130000782823332570&siteStrategyKey=https%3A%2F%2Fwww.nuroa.com.mx&url=https%253A%252F%252Fwww.icasas.mx%252FaggregatorDetail%253FadId%253Dc1ef1ebf-2f72-4b4b-b8b4-bf1f312834ee%2526aggregator%253Dmitula%2526utm_content%253Dc1ef1ebf-2f72-4b4b-b8b4-bf1f312834ee_payment&searchType=2&page=1&seo_link_id=1406136829&section=1&t_sec=1&sectionType=1&pageViewId=195b3e0c-5c7f-418a-9613-697a25411a80&t_pvid=195b3e0c-5c7f-418a-9613-697a25411a80&userAgent=Mozilla%2F5.0+%28Macintosh%3B+Intel+Mac+OS+X+10_15_7%29+AppleWebKit%2F605.1.15+%28KHTML%2C+like+Gecko%29+Version%2F17.4+Safari%2F605.1.15&browser=1&isHuman=true&userIp=189.226.169.69&what=departamento+nezahualcoyotl&search_terms=departamento+nezahualcoyotl&origin=2&t_or=2&splitTestId=0,,https://www.nuroa.com.mx/adform/7130000782823332570?click_type=0&pos=1&listingId=7130000782823332570&siteStrategyKey=https%3A%2F%2Fwww.nuroa.com.mx&url=https%253A%252F%252Fwww.icasas.mx%252FaggregatorDetail%253FadId%253Dc1ef1ebf-2f72-4b4b-b8b4-bf1f312834ee%2526aggregator%253Dmitula%2526utm_content%253Dc1ef1ebf-2f72-4b4b-b8b4-bf1f312834ee_payment&searchType=2&page=1&seo_link_id=1406136829&section=1&t_sec=1&sectionType=1&pageViewId=195b3e0c-5c7f-418a-9613-697a25411a80&t_pvid=195b3e0c-5c7f-418a-9613-697a25411a80&userAgent=Mozilla%2F5.0+%28Macintosh%3B+Intel+Mac+OS+X+10_15_7%29+AppleWebKit%2F605.1.15+%28KHTML%2C+like+Gecko%29+Version%2F17.4+Safari%2F605.1.15&browser=1&isHuman=true&userIp=189.226.169.69&what=departamento+nezahualcoyotl&search_terms=departamento+nezahualcoyotl&origin=2&t_or=2&splitTestId=0,lamudi+nuroa
6000.0,≤$8k,oficina,Gustavo A. Madero,San Juan de Aragón,sí,12.0,,,,n-d,vía portal (lamudi) | https://www.lamudi.com.mx/detalle/41032-73-4dc563b0a7fc-d962-19bf0bc-8ee3-72ec,,https://www.lamudi.com.mx/detalle/41032-73-4dc563b0a7fc-d962-19bf0bc-8ee3-72ec,lamudi
6000.0,≤$8k,oficina,Gustavo A. Madero,San Juan de Aragón,sí,11.0,,,,n-d,vía portal (lamudi) | https://www.lamudi.com.mx/detalle/41032-73-897eefae9395-d466-19bf0bc-8a9d-7e79,,https://www.lamudi.com.mx/detalle/41032-73-897eefae9395-d466-19bf0bc-8a9d-7e79,lamudi
7500.0,≤$8k,departamento,Iztacalco,Agrícola Pantitlán,sí,42.0,2,1.0,,n-d,vía portal (mercadolibre) | https://departamento.mercadolibre.com.mx/MLM-3096602709-agricola-pantitlan-_JM,,https://departamento.mercadolibre.com.mx/MLM-3096602709-agricola-pantitlan-_JM,mercadolibre
